wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
174,dataflow,D_GE4,Annual,Number,H,F,NL,2018,1995,,403.4,4.95,0,403.4,0,1995,0,4.95
175,dataflow,D_GE4,Annual,Number,H,F,NL,2019,2206,,394.1,5.6,0,394.1,0,2206,0,5.6
176,dataflow,D_GE4,Annual,Number,H,F,NL,2020,623,break in time series,367.5,1.7,0,367.5,0,623,0,1.7
177,dataflow,D_GE4,Annual,Number,H,F,NL,2021,3766,,460.2,8.18,0,460.2,0,3766,0,8.18
178,dataflow,D_GE4,Annual,Number,H,F,NL,2022,1266,,450.9,2.81,0,450.9,0,1266,0,2.81
179,dataflow,D_GE4,Annual,Number,H,F,NL,2023,3763,,453.7,8.29,0,453.7,0,3763,0,8.29
180,dataflow,D_GE4,Annual,Number,H,F,PL,2014,1087,,927,1.17,0,927,0,1087,0,1.17
181,dataflow,D_GE4,Annual,Number,H,F,PL,2015,1253,,944.4,1.33,0,944.4,0,1253,0,1.33
182,dataflow,D_GE4,Annual,Number,H,F,PL,2016,1380,,969.7,1.42,0,969.7,0,1380,0,1.42
183,dataflow,D_GE4,Annual,Number,H,F,PL,2017,1576,,1014.1,1.55,0,1014.1,0,1576,0,1.55
184,dataflow,D_GE4,Annual,Number,H,F,PL,2018,1636,,1039.2,1.57,0,1039.2,0,1636,0,1.57
185,dataflow,D_GE4,Annual,Number,H,F,PL,2019,1828,,1068.9,1.71,0,1068.9,0,1828,0,1.71
186,dataflow,D_GE4,Annual,Number,H,F,PL,2020,1398,break in time series,1119.2,1.25,0,1119.2,0,1398,0,1.25
187,dataflow,D_GE4,Annual,Number,H,F,PL,2021,1549,,1165.3,1.33,0,1165.3,0,1549,0,1.33
188,dataflow,D_GE4,Annual,Number,H,F,PL,2022,1623,,1134.1,1.43,0,1134.1,0,1623,0,1.43
189,dataflow,D_GE4,Annual,Number,H,F,PL,2023,1704,,1130.8,1.51,0,1130.8,0,1704,0,1.51
190,dataflow,D_GE4,Annual,Number,H,F,RO,2014,48,,432.3,0.11,0,432.3,0,48,0,0.11
191,dataflow,D_GE4,Annual,Number,H,F,RO,2015,35,,475.3,0.07,0,475.3,0,35,0,0.07
192,dataflow,D_GE4,Annual,Number,H,F,RO,2016,50,,472.4,0.11,0,472.4,0,50,0,0.11
193,dataflow,D_GE4,Annual,Number,H,F,RO,2017,62,,492.3,0.13,0,492.3,0,62,0,0.13
194,dataflow,D_GE4,Annual,Number,H,F,RO,2018,66,,510.9,0.13,0,510.9,0,66,0,0.13
195,dataflow,D_GE4,Annual,Number,H,F,RO,2019,74,,512.2,0.14,0,512.2,0,74,0,0.14
196,dataflow,D_GE4,Annual,Number,H,F,RO,2020,52,break in time series,517.5,0.1,0,517.5,0,52,0,0.1
197,dataflow,D_GE4,Annual,Number,H,F,RO,2021,23,,544,0.04,0,544,0,23,0,0.04
198,dataflow,D_GE4,Annual,Number,H,F,RO,2022,30,,555.5,0.05,0,555.5,0,30,0,0.05
199,dataflow,D_GE4,Annual,Number,H,F,RO,2023,39,,570.3,0.07,0,570.3,0,39,0,0.07
