STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,M,"Professional, scientific and technical activities",IT,Italy,2023,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2014,,16,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2015,,16,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2016,,12,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2017,,24,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2018,,27,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2019,,22,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2020,,23,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2021,,32,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2022,,18,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,N,Administrative and support service activities,IT,Italy,2023,,25,,,,,
